       Địa chỉ  Quận  Huyện  Loại hình nhà ở  Giấy tờ pháp lý  Số tầng  Số phòng ngủ  Diện tích          Dài     Rộng           Giá
48972     1164     7     35                0                0      3.0           3.0       42.0       4.0000    10.00  6.548000e+10
48979     1182     6     82                0                0      5.0           3.0       31.0       8.0000     4.50  1.871000e+11
48990     1502    11     47                0                0      5.0           4.0       57.0       9.0000     6.00  7.018000e+10
48991      246     5     51                0                1      3.0           3.0       30.0       8.0000     4.00  6.600000e+10
48992      493     0    133                0                0      4.0           3.0       70.0      18.0000     4.00  1.114300e+11
49000     1037     6      8                1                0      5.0           3.0       36.0      10.0000     3.00  2.055600e+11
49001      676     5    135                0                0      6.0           5.0       38.0       3.0000    10.00  1.000000e+11
49010       76     7     57                0                0      5.0           4.0       42.0      10.0000     4.00  1.166700e+11
49011      211     2     23                2                0      5.0           4.0       60.0      15.0000     4.00  8.000000e+10
49013      246     5     51                1                0      6.0           4.0       55.0      10.0000     5.00  1.018200e+11
49017       23     9     21                0                0      5.0           5.0       35.0       9.0000     4.30  8.000000e+10
49022     2942     3    152                2                0      4.0           5.0      200.0      20.0000    10.00  1.750000e+11
49038      107     0     37                0                0      5.0           3.0       40.0      10.0000     4.00  7.000000e+10
49046     1225     6     24                0                0      5.0           5.0       50.0      12.5000     4.00  1.040000e+11
49048     2943     1     65                0                0      5.0           3.0       41.0      10.0000     4.00  1.078000e+11
49051      539     0    141                0                0      5.0           3.0       39.0      10.0000     4.00  7.051000e+10
49052     2944     5     84                0                2      5.0           3.0        9.0       3.0000     3.00  7.667000e+10
49054      361     2     23                1                0      5.0           6.0       35.0       9.0000     4.00  1.214300e+11
49058      357    11     28                0                0      5.0           4.0       35.0       9.0000     4.00  8.000000e+10
49066     2945     3     14                3                0      5.0           4.0       40.0      12.0000     4.00  8.750000e+10
49068     2758     1      1                0                0      3.0           4.0       62.0      10.0000     6.00  5.565000e+10
49074        1     1      1                0                0      3.0           3.0       30.0      10.0000     3.00  8.167000e+10
49076      703     1     86                0                0      4.0           4.0       40.0      10.0000     4.00  7.000000e+10
49091       73     8     54                0                0      5.0           4.0       40.0      10.0000     4.00  9.375000e+10
49092       68     7     52                0                1      5.0           3.0       27.0       7.0000     4.00  6.852000e+10
49095     2946     3     67                0                0      4.0           4.0       32.0       8.0000     4.00  7.500000e+10
49104     2947    12    182                2                0      5.0           8.0      300.0       1.0000     1.00  3.000000e+10
49106     1104     6     24                1                0      5.0           6.0       40.0       9.0000     4.50  1.625000e+11
49116      480     3     32                0                0      5.0           4.0       50.0      10.0000     5.00  8.000000e+10
49119      764    11     91                0                0      4.0           4.0       60.0      12.0000     5.00  1.033300e+11
49124     2948     0    146                1                0      3.0           3.0       55.0      12.0000     4.60  4.290900e+11
49145      325     6      8                0                0      6.0           4.0       35.0      10.0000     3.30  1.014300e+11
49149     2949     0    170                1                0      4.0           4.0       30.0       6.3000     4.70  4.000000e+11
49155       71     5     50                0                0      5.0           4.0       35.0      10.0000     3.50  9.143000e+10
49156      516     6    108                0                0      4.0           3.0       30.0       9.0000     3.00  9.000000e+10
49166     2950     3     78                3                0      4.0           6.0      119.0      19.8000     6.00  1.764700e+11
49167     2951     0     37                0                0      1.0           1.0       40.0       8.0000     5.20  9.500000e+10
49171     1254     2     72                0                0      2.0           2.0       50.0       1.0000     1.00  3.600000e+10
49182     1111     7     20                0                0      4.0           4.0       40.0      12.0000     3.30  5.750000e+10
49185      779    10    164                0                0      5.0           4.0       36.0      12.0000     3.00  7.778000e+10
49209     1153     2     39                0                0      3.0           3.0       33.0       8.0000     4.00  4.848000e+10
49214     2952    13    208                0                0      4.0           4.0       51.0      10.0000     5.00  3.725000e+10
49220     1402     2      7                0                0      4.0           4.0       38.0      10.0000     3.80  6.711000e+10
49221     1181     5     51                0                0      4.0           4.0       60.0      15.0000     4.00  8.583000e+10
49237      525     2     40                0                0      4.0           4.0       30.0      10.0000     3.00  6.000000e+10
49240     2953     6     68                0                0      5.0           6.0       40.0      10.0000     4.00  1.650000e+11
49242       87     2      7                0                0      5.0           4.0       38.0       9.5000     4.00  5.526000e+10
49247      419     2     19                0                0      5.0           4.0       37.0      10.0000     3.00  5.757000e+10
49249     2954     7     20                1                0      3.0           4.0       30.0       7.0000     4.00  8.333000e+10
49256       87     2      7                0                0      4.0           4.0       30.0      10.0000     3.30  6.000000e+10
49259     2106     6      8                0                0      5.0           3.0       45.0       9.0000     5.00  9.333000e+10
49271      494     8     63                0                0      5.0           3.0       30.0       6.0000     5.00  8.833000e+10
49289       99     2     39                0                0      5.0           4.0       30.0       9.0000     3.00  5.167000e+10
49291     1459     2    103                0                0      4.0           3.0       30.0       8.0000     4.00  5.667000e+10
49292      634    10     85                0                0      5.0           6.0       55.0       8.0000     7.00  1.145500e+11
49294        6     5      6                1                0      7.0          11.0       98.0      26.0000     3.70  1.142900e+11
49296     2945     3     14                3                0      5.0           4.0       50.0      13.0000     4.00  7.000000e+10
49304      332     2    103                0                0      4.0           3.0       30.0       8.5000     4.00  6.167000e+10
49306      969     6     68                0                0      5.0           4.0       30.0       6.0000     5.00  1.866700e+11
49307     1622    11    114                0                0      5.0           4.0       60.0      12.0000     5.00  1.500000e+11
49311     1459     2    103                0                0      4.0           3.0       32.0       8.8000     3.60  5.938000e+10
49317      151     5      6                0                0      5.0           3.0       37.0       8.0000     4.00  9.189000e+10
49321      363     2      2                0                0      5.0           4.0       34.0      10.0000     3.00  9.059000e+10
49322     2955     1     76                1                0      5.0           6.0       64.0      13.0000     5.00  9.063000e+10
49325     1557     2      2                0                0      4.0           4.0       33.0      10.0000     3.30  5.455000e+10
49330      676     5    135                0                0      1.0           1.0       31.0      10.0000     3.00  5.032000e+10
49331        6     5      6                0                0      4.0           3.0       40.0      10.0000     4.00  1.175000e+11
49337     2956     0     87                1                0      4.0           3.0       60.0      15.0000     4.00  1.300000e+11
49339      968    11    114                1                0      5.0           5.0       65.0      12.0000     5.00  1.692300e+11
49357      575     7     80                1                0      4.0           7.0       64.0       9.0000     7.00  1.828100e+11
49360     2890     7     80                2                0      4.0           5.0      160.0      20.0000     8.00  5.000000e+10
49361     2957    17    224                1                0      2.0           2.0       52.0      10.0000     5.00  5.673000e+10
49397      753     5     79                0                0      2.0           2.0       50.0       7.5000     5.50  5.980000e+10
49400     1502    11     47                0                0      5.0           3.0       20.0       3.0000  2700.00  1.050000e+11
49405      875     2    156                0                0      4.0           3.0       35.0      10.0000     3.00  4.143000e+10
49423      529     7     57                0                0      5.0           4.0       35.0      10.0000     3.50  8.000000e+10
49428      739    11    114                0                0      5.0           4.0       60.0      15.0000     4.00  1.500000e+11
49441      929     6     68                1                0      6.0          11.0       80.0      12.0000     8.00  6.875000e+10
49453     2958     7     48                0                0      5.0           3.0       47.0       8.5000     4.50  5.957000e+10
49454      105     1     65                0                0      4.0           4.0       40.0      12.0000     3.60  7.475000e+10
49460     1225     6     24                0                0      4.0           3.0       55.0       9.0000     6.00  7.818000e+10
49462     2959     5      6                0                0      2.0           3.0       56.0      10.0000    56.00  5.536000e+10
49476     1545     2      7                2                0      4.0           6.0      160.0      20.0000     8.00  8.438000e+10
49482     2960     5      6                0                0      4.0           4.0       45.0      10.0000    45.00  1.044400e+11
49488      371     7     20                1                0      5.0           6.0       41.0      10.0000     4.00  5.854000e+10
49492     2961     2     39                0                0      3.0           3.0       36.0       9.0000     4.00  3.889000e+10
49515     2962     7     80                0                0      2.0           2.0       38.0      12.0000     3.00  9.211000e+10
49519       36    11     29                1                0      5.0           5.0       70.0      17.0000     3.00  1.571400e+11
49520     1440     3    152                0                0      1.0           2.0       70.0      17.0000     4.00  8.571000e+10
49522     2963     5     84                1                0      5.0           4.0       58.0      13.0000     4.30  9.138000e+10
49533       13     7      9                0                0      5.0           3.0       32.0       6.0000     5.00  8.906000e+10
49556     2964     1    139                1                0      4.0           6.0      106.0      21.0000     5.00  4.906000e+10
49561     1259     3    152                0                0      3.0           3.0       40.0       6.0000     6.00  6.625000e+10
49563     2073     6     82                0                0      6.0           4.0       32.0       8.0000     4.00  1.000000e+11
49566     2965     6     13                0                0      3.0           4.0       45.0      10.0000     4.00  8.667000e+10
49576     1819     6     46                1                0      4.0           3.0       51.0      11.0000     5.00  1.666700e+11
49579     2966     6     68                0                0      4.0           4.0       50.0      10.0000     5.00  9.200000e+10
49590     2967     6      8                0                0      5.0           3.0       30.0       8.0000     4.00  1.283300e+11
49592      144     0      0                0                0      5.0           4.0       38.0       9.0000     4.00  8.026000e+10
49599     2890     7     80                3                2      4.0           3.0       75.0      15.0000     5.00  2.373300e+11
49604     2968     7      9                0                0      4.0           5.0      120.0      20.0000     5.00  5.167000e+10
49609      363     2      2                3                1      4.0           4.0      154.0      22.0000     7.00  1.311700e+11
49612      953     6     82                1                0      7.0           6.0      130.0      26.0000     5.00  3.384600e+11
49624     2969     8    120                1                0      5.0           5.0       38.0       8.0000     5.00  1.315800e+11
49637       73     8     54                1                0      5.0           5.0       45.0      11.0000     4.00  1.400000e+11
49640      202     7     57                0                0      4.0           4.0       33.0      10.0000     3.30  8.333000e+10
49645     2970    11     60                1                0      5.0           4.0       31.0       3.0000     9.00  2.258100e+11
49668     2971     1     99                0                0      5.0           4.0       41.0      12.0000     3.50  6.220000e+10
49670      307    10    105                3                0      6.0           4.0       70.0      16.0000     4.00  1.571400e+11
49671     2972     1    124                0                0      4.0           4.0       50.0      12.0000     4.00  9.200000e+10
49673      307    10    105                1                0      5.0           5.0       80.0      17.5000     4.50  1.312500e+11
49677      256     4    106                1                0      5.0           6.0       66.0      13.0000     5.00  9.848000e+10
49681      144     0      0                0                0      4.0           4.0       38.0      10.3000     3.50  7.500000e+10
49688      853     4     97                0                0      4.0           4.0       35.0       8.0000     4.00  7.000000e+10
49691      105     1     65                0                0      5.0           3.0       32.0       9.7600     3.30  8.594000e+10
49698      779    10    164                1                0      5.0           4.0       36.0      12.0000     3.00  7.778000e+10
49704      779    10    164                0                0      5.0           4.0       36.0      12.0000     3.00  7.778000e+10
49706     2055    10    147                0                0      4.0           4.0       67.0      14.0000     5.00  7.313000e+10
49715      968    11    114                0                0      5.0           5.0       38.0      10.0000     4.00  1.986800e+11
49722     2973     6     68                0                0      4.0           4.0       48.0       8.0000     6.00  1.145800e+11
49725      235     6     46                0                0      3.0           3.0       36.0       8.0000     5.00  6.944000e+10
49727     2506    11     29                0                0      5.0           4.0       35.0       3.0000    10.00  1.971400e+11
49734     2577     3     32                0                0      3.0           3.0       50.0      13.0000     4.10  1.000000e+11
49738      981     8    126                0                0      4.0           4.0       45.0       9.0000     5.00  1.311100e+11
49743      246     5     51                3                0      5.0           4.0       45.0      10.0000     4.00  1.244400e+11
49746      367    10     27                0                0      5.0           3.0       45.0      10.0000     5.00  1.022200e+11
49748     2974     7    102                1                0      2.0           3.0       92.0      20.0000     5.00  7.283000e+10
49750      689     7     74                0                0      6.0           2.0       20.0       4.0000     5.00  7.000000e+10
49756        6     5      6                1                0      4.0           4.0       48.0      10.0000     4.00  1.437500e+11
49757      144     0      0                0                0      3.0           6.0      180.0      18.0000    10.00  4.944000e+10
49764      243     7     59                0                0      6.0           4.0       32.0       6.0000     5.00  7.656000e+10
49773      447     7     59                1                0      4.0           3.0       35.0       8.0000     4.00  8.857000e+10
49779      986    11     29                0                0      4.0           4.0       43.0      10.0000     4.00  1.093000e+11
49780      118     6     68                0                0      4.0           3.0       35.0       9.0000     4.00  9.714000e+10
49789      696     5     26                0                0      5.0           6.0       39.0      10.0000     4.00  1.025600e+11
49790      539     0    141                0                0      6.0           2.0       26.0       6.0000     5.00  7.115000e+10
49792     1225     6     24                0                0      4.0           3.0       52.0       9.0000     6.00  8.269000e+10
49798     1476     4    189                0                0      4.0           4.0       42.0      13.0000     3.00  5.952000e+10
49817      382    10    105                0                0      3.0           3.0       55.0      10.0000     5.00  6.091000e+10
49827     2975     1     65                0                0      5.0           3.0       30.0       6.0000     5.00  7.833000e+10
49836     2976     6     13                0                0      5.0           3.0       28.0       6.0000     5.00  1.017900e+11
49839      539     0    141                0                0      4.0           3.0       39.0      10.5000     3.50  8.974000e+10
49844      277     2    108                1                0      5.0           6.0       39.0      12.0000     3.30  1.769200e+11
49854      177     7     74                0                0      5.0           4.0       30.0       9.0000     3.00  1.150000e+11
49857     2977     9     22                0                0      5.0           3.0       30.0       7.0000     5.00  1.000000e+11
49862     2978     1    107                0                0      5.0           4.0       35.0       7.0000     5.00  6.571000e+10
49869      184     1     88                1                0      3.0           2.0       63.0      17.0000     3.70  7.619000e+10
49878     2979     3     42                0                0      4.0           3.0       31.0       8.8000     3.58  8.387000e+10
49880      676     5    135                0                0      5.0           4.0       35.0      10.0000     3.50  9.290000e+09
49908     2980     1      1                0                0      3.0           4.0       70.0      17.0000     4.00  5.214000e+10
49924       88    11     61                1                0      4.0           4.0       45.0      10.0000     5.00  9.222000e+10
49934     2981     2      2                3                0      5.0           5.0       82.0      16.0000     5.00  8.537000e+10
49943     1321     0     25                3                0      6.0           5.0       79.0      15.0000     5.00  1.367100e+11
49944     2982     8     17                1                0      4.0           4.0       30.0      10.0000     3.60  1.483300e+11
49954      976     5    143                0                0      5.0           5.0       50.0      12.0000     4.50  1.540000e+11
49957     1385     8     45                0                0      5.0           4.0       50.0      10.0000     5.00  1.500000e+11
49966      307    10    105                0                0      4.0           4.0       90.0      15.0000     6.00  5.778000e+10
49968     2516     8    120                0                0      5.0           4.0       66.0      12.0000     5.00  9.621000e+10
49969      144     0      0                0                0      4.0           4.0       40.0      10.0000     4.00  6.500000e+10
49974      539     0    141                0                0      4.0           2.0       33.0      11.0000     3.00  9.697000e+10
49975      224    11     47                0                0      5.0           4.0       55.0       9.0000     6.00  7.273000e+10
49978     1891    11     47                1                0      7.0           8.0       70.0      14.0000     5.00  2.071400e+11
49984      835    11     28                1                0      5.0           3.0       35.0      11.0000     3.00  1.771400e+11
49986      478     1     65                0                0      4.0           5.0       33.0      10.0000     3.00  8.333000e+10
49989     2983     5     51                1                0      4.0           4.0       70.0      17.0000     4.00  2.400000e+11
49997      186     7     74                0                0      4.0           4.0       75.0      18.0000     4.00  6.933000e+10
50006     2984     5      6                0                0      4.0           3.0       40.0      10.0000     4.00  8.500000e+10
50014     1013    11    114                0                0      5.0           5.0       42.0       8.0000     5.00  1.809500e+11
50015      307    10    105                1                0      3.0           4.0       55.0      10.0000     6.00  9.055000e+10
50029     1538    12    148                0                0      4.0           5.0       32.0       8.0000     4.00  8.281000e+10
50049      420    11     30                0                0      5.0           4.0       38.0      11.0000     3.00  1.013200e+11
50053      318     2     19                0                0      4.0           3.0       37.0       7.0000     5.00  7.162000e+10
50065     1795     3    152                0                0      5.0           5.0       43.0      10.0000     4.00  8.140000e+10
50071     2985     9     55                0                0      5.0           5.0       35.0      13.0000     3.00  7.714000e+10
50077     2986     1     31                3                1      5.0           6.0       88.0      16.0000     6.00  9.205000e+10
50087       74     9     55                0                0      3.0           3.0       38.0       9.0000     4.00  8.553000e+10
50093      318     2     19                0                0      4.0           4.0       40.0      10.0000     4.00  6.125000e+10
50103      735     5      6                0                0      4.0           3.0       40.0       7.0000     5.00  6.500000e+10
50104      855     0     87                1                0      5.0           4.0       45.0       9.0000     5.00  1.106700e+11
50110      144     0      0                0                0      5.0           3.0       27.0       7.0000     4.00  8.148000e+10
50125       33     5     26                0                0      5.0           3.0       31.0       8.0000     3.90  1.129000e+11
50129      634    10     85                0                0      5.0           5.0       36.0      11.7000     3.10  7.639000e+10
50130     2987     2      7                3                0      4.0           4.0       40.0      10.0000     4.00  8.750000e+10
50135     2988     5     84                0                0      4.0           3.0       40.0      10.0000     4.00  1.137500e+11
50138       68     7     52                1                0      5.0           4.0       38.0      10.0000     3.50  9.474000e+10
50139     1227     1     88                0                0      5.0           4.0       42.0       9.0000     5.00  1.052400e+11
50143       10     2     10                3                0      4.0           4.0       28.0    9400.0000  3000.00  8.214000e+10
50147     2989    24    225                2                0      3.0           4.0      208.0      28.0000     7.00  3.462000e+10
50148     2990    14     64                0                0      3.0           1.0       22.0       8.0000     3.20  1.454500e+11
50149       17     6     15                0                0      5.0           3.0       26.0       5.0000     6.00  1.230800e+11
50151     1047     6     83                0                0      5.0           4.0       45.0      14.0000    36.00  1.600000e+11
50153      904     3    152                0                0      3.0           2.0       40.0       6.6000     6.00  6.625000e+10
50154      520     5      6                0                0      4.0           4.0       38.0      10.0000     3.00  1.263200e+11
50155     2991     6     38                0                0      3.0           3.0       65.0      13.0000     5.00  1.163100e+11
50162     2992     7    118                1                0      5.0           7.0       60.0      12.0000     5.00  1.050000e+11
50176     2993     2     94                3                0      6.0           4.0      110.0      11.0000    10.00  1.627300e+11
50183        6     5      6                0                0      4.0           4.0       33.0       7.0000     5.00  1.515200e+11
50190      230     7     48                0                0      4.0           2.0       20.0       6.7000     3.00  9.900000e+10
50198      882    10    105                0                0      4.0           5.0       38.0       9.0000     4.00  7.895000e+10
50200     2994     6     13                0                0      5.0           3.0       40.0       6.0000     6.00  9.700000e+10
50211      131     8     75                1                0      3.0           3.0       40.0      13.5000     3.00  2.700000e+11
50212     2995     1     56                0                0      4.0           1.0       45.0       6.0000     4.00  5.556000e+10
50224     1826    10     27                1                0      2.0           1.0       22.0       4.5000     5.00  2.590900e+11
50227     2996     0    170                0                0      3.0           2.0       20.0       6.8000     3.00  9.950000e+10
50249       36    11     29                0                0      5.0           5.0       55.0      10.0000     5.00  6.364000e+10
50278     2997     1    124                1                0      6.0           4.0       57.0      14.0000     4.00  1.438600e+11
50281     2998    11    114                0                0      2.0           3.0       36.0       7.0000     5.00  8.611000e+10
50284      358     8     12                0                0      4.0           2.0       15.0       3.0000     5.00  1.253300e+11
50291     1164     7     35                0                0      4.0           4.0       36.0      10.0000     3.50  7.361000e+10
50292     2315    10    105                0                0      4.0           4.0       40.0      10.0000     4.00  6.875000e+10
50299      248     5    104                1                0      3.0           5.0       60.0      19.0000     3.30  1.116700e+11
50304     1638     8     75                1                0      3.0           3.0       60.0      18.0000     3.00  1.916700e+11
50307      280     3    110                0                0      4.0           4.0       38.0      10.0000     4.00  6.579000e+10
50312     1289     7     52                1                0      3.0           3.0       61.0      15.0000     4.00  1.311500e+11
50326      131     8     75                1                0      3.0           3.0       65.0      15.0000     4.00  3.076900e+11
50327       71     5     50                0                0      5.0           3.0       30.0       7.0000     4.00  9.500000e+09
50330     2999     2    108                0                0      1.0           1.0       45.0      11.0000     3.00  5.556000e+10
50333     1034     1     31                0                0      5.0           4.0       32.0       8.0000     4.00  7.813000e+10
50337      212     3     42                0                0      3.0           4.0       44.0      11.0000     4.00  5.000000e+10
50339     3000     5    143                0                0      4.0           4.0       40.0      10.0000     4.00  1.400000e+11
50354     2925     4     97                0                0      4.0           5.0       58.0      14.0000     4.00  7.663000e+10
50357     1848     2    108                0                0      1.0           1.0       46.0      11.5000     4.00  5.435000e+10
50358     3001     1    144                0                0      5.0           3.0       30.0       6.0000     5.00  6.500000e+10
50373     3002     1     90                0                0      4.0           3.0       30.0      75.0000     4.00  8.167000e+10
50376     2975     1     65                0                0      5.0           3.0       32.0       8.0000     4.00  8.594000e+10
50401      314    11     29                0                0      6.0           5.0       32.0       8.0000     4.00  1.125000e+11
50417     3003     7     80                1                0      4.0           4.0       50.0      12.0000     4.00  1.360000e+11
50424      161     1     56                0                0      4.0           3.0       50.0      11.1000     4.50  8.400000e+10
50435     3004    11     29                0                0      5.0           3.0       31.0       5.3000     6.00  9.613000e+10
50448     1557     2      2                1                0      5.0           3.0       33.0       8.0000     4.00  6.909000e+10
50463      181     0     87                3                0      4.0           4.0       50.0      10.0000     5.00  1.340000e+11
50464     3005     5     62                1                0      5.0           4.0       54.0      14.0000     4.00  9.167000e+10
50472     1154     5    135                0                0      5.0           4.0       35.0      10.0000     3.50  9.290000e+09
50476        6     5      6                0                0      4.0           2.0       12.0       4.0000     3.00  8.750000e+10
50483      314    11     29                0                0      1.0           1.0       59.0      18.0000     3.20  8.475000e+10
50486      230     7     48                0                0      5.0           6.0       45.0      10.9000     4.10  1.022200e+11
50488     1557     2      2                0                0      5.0           4.0       36.0       9.0000     4.00  5.833000e+10
50490      205    12     92                0                0      2.0           2.0       30.0      10.0000     3.00  4.200000e+10
50503       87     2      7                0                0      4.0           4.0       34.0      30.0000     3.40  7.794000e+10
50509     2045     0    170                0                0      5.0           5.0       45.0      12.0000     3.00  2.266700e+11
50512     3006     1    144                0                0      4.0           3.0       35.0       7.0000     5.00  6.429000e+10
50533      999     1     65                0                0      3.0           5.0      141.0      17.4000     8.10  6.500000e+10
50539      541     6     46                0                0      4.0           4.0       52.0      15.0000     3.50  7.692000e+10
50550      779    10    164                1                0      4.0           3.0       46.0      10.0000     5.00  7.065000e+10
50552     3007    10    105                0                0      5.0           4.0       35.0      10.0000     3.50  1.042900e+11
50558      891     5     26                1                0      5.0           4.0       43.0      11.0000     4.00  1.534900e+11
50560      964     6    168                0                0      3.0           3.0       50.0      12.5000     4.00  7.200000e+10
50571     3008    11     60                1                0      5.0           4.0       96.0      16.0000     6.00  3.229200e+11
50583        6     5      6                1                0      5.0           5.0       39.0      11.0000     3.00  8.974000e+10
50591     2385    13    208                0                0      3.0           4.0       51.0      10.0000     5.00  3.725000e+10
50592     1309     7    111                0                0      4.0           3.0       35.0       5.0000     5.00  7.429000e+10
50594      357    11     28                0                0      3.0           3.0       24.0       6.0000     3.90  1.291700e+11
50598     3009    11     47                1                0      4.0           6.0       58.0      14.0000     4.20  3.017200e+11
50608      179     0     73                1                0      3.0           2.0       15.0       5.0000     3.00  1.866700e+11
50615       10     2     10                0                0      3.0           3.0       50.0      12.0000     4.00  5.300000e+10
50616      131     8     75                1                0      3.0           4.0       86.0      15.0000     6.00  2.616300e+11
50618     3010    12    182                1                0      1.0           2.0       37.0      11.0000     3.00  4.324000e+10
50620     3011     2      2                0                0      3.0           4.0       99.0      14.0000     7.00  6.566000e+10
50632     3012     7     52                0                0      5.0           3.0       31.0      10.0000     3.00  1.058100e+11
50662      139     7     80                0                0      4.0           3.0       31.0       7.0000     4.00  8.548000e+10
50663       68     7     52                0                0      1.0           2.0       15.0      11.0000     4.00  9.400000e+10
50673       33     5     26                1                0      2.0           2.0       71.0      12.0000     6.00  1.507000e+11
50688     1383     7     57                0                0      5.0           8.0       60.0      13.0000     5.00  1.333300e+11
50699      179     0     73                0                0      5.0           4.0       32.0       7.0000     4.00  9.375000e+10
50709     1999     6     89                1                0      5.0           3.0       20.0       7.0000     3.00  1.600000e+11
50711     1861     6     38                1                0      7.0          11.0       64.0      19.0000     4.07  5.546900e+11
50723     1995    10    105                0                0      6.0           3.0       30.0       5.0000     6.00  1.433300e+11
50737     2234    12     44                1                0      3.0           3.0       30.0      10.0000     3.00  5.133000e+10
50741     3013     6     24                0                0      4.0           2.0       30.0       6.0000     5.00  8.500000e+10
50744      654     6    145                0                0      4.0           4.0       32.0       8.0000     4.00  1.000000e+11
50746     3014     5    104                0                0      6.0           6.0       47.0      14.0000     4.00  1.808500e+11
50749     2744     2     39                0                0      1.0           2.0       60.0      15.0000     4.00  2.250000e+10
50761       71     5     50                0                0      3.0           2.0       23.0       4.0000     5.00  1.087000e+11
50768     1476     4    189                0                0      4.0           5.0       42.0      11.0000     3.00  5.714000e+10
50769        2     2      2                2                1      4.0           6.0      162.0      18.0000     9.00  5.556000e+10
50775     3015     6     15                1                0      4.0           4.0       54.0      13.0000     4.00  1.055600e+11
50778     3016     8     45                0                0      3.0           3.0       42.0      11.0000     3.00  1.071400e+11
50791     3017    11     30                0                0      5.0           3.0       42.0      10.0000     3.00  8.333000e+10
50803     3018     5     79                2                0      4.0           3.0      150.0      15.0000    10.00  2.066700e+11
50807     3019     3     78                0                0      5.0           4.0       33.0      11.0000     3.00  7.879000e+10
50810      571     4     97                3                0      1.0           1.0       54.0      12.0000     4.00  7.407000e+10
50813     3020     7    100                1                2      1.0           1.0       36.0       8.5000     4.20  6.111000e+10
50814     3021    12    154                0                0      3.0           3.0       30.0      91.0000    35.00  5.333000e+10
50821     1842    11     30                0                0      5.0           4.0       50.0       8.0000     6.00  1.160000e+11
50835      133    10     27                1                0      6.0           4.0       22.0       7.0000     3.00  1.909100e+11
50842     3022     6    140                0                0      3.0           3.0       42.0       8.0000     5.00  7.095000e+10
50851      133    10     27                0                0      3.0           2.0       26.0       7.0000     3.00  9.615000e+10
50858     3023     8    119                3                0      4.0           4.0       50.0      12.0000     4.00  1.160000e+11
50859     3024     8    119                0                0      5.0           4.0       48.0      13.0000     3.80  1.187500e+11
50861      734     3     67                0                0      4.0           3.0       30.0       7.0000     4.00  8.000000e+10
50869      302     5     26                0                0      4.0           3.0       39.0      10.0000     3.00  7.692000e+10
50891     3025     1      1                1                0      4.0           4.0       70.0      14.0000     5.00  9.000000e+10
50899     3026     7     80                0                2      1.0           1.0       17.0       6.0000     3.00  2.059000e+10
50918     3027    14    198                0                0      1.0           1.0       55.0      10.0000     4.00  6.909000e+10
50919     1713     1    139                3                0      4.0           4.0       82.0      14.0000     5.00  9.756000e+10
50922     3028     6    140                0                0      5.0           4.0       45.0      10.0000     4.50  1.177800e+11
50925       19     8     17                0                0      5.0           3.0       20.0      63.0000     4.00  1.350000e+11
50931      156     7     59                1                0      5.0           3.0       30.0      11.0000     3.30  8.333000e+10
50935     1963     6     13                0                0      5.0           3.0       30.0       7.0000     4.00  1.266700e+11
50938     2309     3    122                0                0      5.0           3.0       40.0       8.0000     5.00  7.500000e+10
50942     3029    10    105                1                0      5.0           6.0       55.0      12.0000     4.00  2.363600e+11
50958     1603     5      6                0                0      4.0           4.0       45.0      11.0000     4.00  1.022200e+11
50974      855     0     87                0                0      6.0           5.0       51.0      13.0000     4.00  1.607800e+11
50985     3030     2     10                0                0      5.0           4.0       30.0       8.0000     4.00  9.333000e+10
50986      701    11     47                1                0      5.0           5.0       55.0      14.0000     4.00  1.272700e+11
50987     3031     1     65                0                0      3.0           4.0       70.0      17.5000     4.00  9.430000e+09
51006     3032     1     65                3                0      7.0           8.0       80.0      16.0000     5.00  1.962500e+02
51008      594     3     78                0                0      1.0           3.0       72.0      17.0000     4.00  6.042000e+10
51020        6     5      6                0                0      4.0           4.0       28.0       5.0000     6.00  8.036000e+10
51039     2288    10    147                2                0      5.0           3.0       48.0       6.0000     8.00  1.312500e+11
51041     2156     6     82                0                0      6.0           5.0       23.0       7.0000     3.30  1.521700e+11
51042      200     5     50                0                0      5.0           4.0       43.0      10.0000     4.50  8.837000e+10
51055      654     6    145                1                0      5.0           4.0       40.0       9.0000     5.00  1.425000e+11
51056     3033     8     17                1                0      5.0           3.0       25.0       8.0000     3.00  7.600000e+10
51067     1144     5      6                0                0      4.0           4.0       50.0      12.0000     4.00  9.200000e+10
51069       30     6     24                0                0      3.0           2.0       46.0      12.0000     4.00  6.304000e+10
51078       24     9     22                3                0      1.0           1.0       84.0      11.0000     8.20  8.333000e+10
51087     3034     0     25                1                0      2.0           4.0       69.0      14.0000    49.00  1.087000e+11
51091      634    10     85                0                0      6.0           4.0       45.0      10.0000     5.00  1.044400e+11
51101       74     9     55                1                0      5.0           3.0       35.0      10.0000     3.00  7.857000e+10
51103     3035     6    108                0                0      5.0           6.0       55.0      15.0000     3.00  1.045500e+11
51107      976     5    143                1                0      5.0           4.0       42.0      12.0000     3.00  1.738100e+11
51109      243     7     59                0                0      4.0           3.0       35.0       7.0000     4.60  6.286000e+10
51117     3036     7     57                0                0      5.0           6.0       40.0      10.0000     4.00  1.487500e+11
51126      293     3     78                1                0      6.0           8.0       41.0       8.0000     5.00  2.439000e+11
51130      539     0    141                0                0      9.0           8.0      135.0      24.0000     5.60  2.407400e+11
51133     3037    10    138                0                0      5.0           4.0       54.0       9.0000     6.00  1.148100e+11
