       Địa chỉ  Quận  Huyện  Loại hình nhà ở  Giấy tờ pháp lý  Số tầng  Số phòng ngủ  Diện tích          Dài     Rộng           Giá
967        132     1     76                0                0      5.0           3.0       31.0       9.0000     3.00  6.387000e+10
969        133    10     27                0                0      5.0           7.0       45.0      11.2500     4.00  8.222000e+10
992         68     7     52                0                0      5.0           4.0       40.0      10.0000     4.00  7.000000e+10
1004       134     8     12                0                0      5.0           3.0       42.0      10.0000     4.00  1.238100e+11
1008       135     3     77                0                0      5.0           3.0       33.0       8.0000     4.00  8.485000e+10
1019       136     3     78                0                0      5.0           4.0       47.0       9.4000     5.00  6.383000e+10
1020       137     5     79                1                0      5.0           4.0       70.0      15.0000     4.50  2.214300e+11
1041       138     6     15                0                0      5.0           2.0       11.0       2.7000     4.00  1.227300e+11
1060       139     7     80                0                0      5.0           4.0       39.0       9.0000     4.50  1.115400e+11
1106       103     8     12                0                0      6.0           8.0       60.0      14.0000     4.50  2.083300e+11
1110       140     9      0                0                0      5.0           3.0       38.0      11.0000     3.50  9.474000e+10
1112       141     5     79                0                0      5.0           3.0       35.0       5.0000     7.00  7.714000e+10
1132       142     6     43                0                0      3.0           4.0       35.0       8.5000     4.10  9.714000e+10
1142       143     6     24                0                0      5.0           8.0       64.0      13.0000     5.00  7.813000e+10
1189       144     0      0                0                0      5.0           5.0       34.0       8.0000     4.00  9.265000e+10
1190       145     5     62                1                0      7.0           6.0       50.0       8.5000     6.00  3.740000e+09
1192        10     2     10                1                0      3.0           3.0       34.0      10.0000    35.00  7.206000e+10
1212       146     7     74                0                0      5.0           3.0       30.0       9.0000     3.60  8.000000e+10
1221       147    11     60                0                0      4.0           4.0       43.0      11.2500     4.00  2.279100e+11
1225       148     1      1                0                0      6.0           5.0       47.0       9.0000     5.00  1.170200e+11
1258       149     1     31                0                0      5.0           4.0       41.0      10.0000     4.10  6.585000e+10
1268        68     7     52                0                0      5.0           3.0       40.0      10.0000     4.00  7.000000e+10
1271       150    12     44                0                0      3.0           2.0       30.0       8.0000     4.00  4.033000e+10
1276       151     5      6                0                0      5.0           4.0       45.0      10.1000     4.00  1.577800e+11
1282       152     2     18                0                0      5.0           4.0       40.0      11.0000     4.00  7.500000e+10
1286       153     6      8                0                0      5.0           5.0       50.0      10.0000     5.00  9.300000e+10
1287       154     1      1                0                0      6.0           3.0       30.0      10.0000     3.50  1.100000e+11
1289       155     1      1                0                0      4.0           4.0       57.0      15.0000     4.00  7.719000e+10
1292       156     7     59                0                0      4.0           4.0       60.0      10.0000     6.00  5.583000e+10
1307       157    13     81                0                0      3.0           2.0       30.0       6.0000     5.00  5.033000e+10
1309       158     5     50                0                0      5.0           5.0       43.0      12.0000    37.00  1.325600e+11
1313       159     6     82                0                0      6.0           6.0       33.0       8.0000     4.00  1.818200e+11
1321       160     6     68                1                0      6.0           4.0       30.0      12.0000    41.00  1.966700e+11
1324       161     1     56                1                0      4.0           4.0       50.0      13.0000     4.00  6.000000e+10
1331       162     5     26                0                0      6.0           6.0       32.0       9.0000     4.00  9.063000e+10
1336       163     6     83                0                0      5.0           5.0       48.0       8.0000     6.00  9.375000e+10
1344       164     5     84                0                0      4.0           4.0       36.0       9.0000     4.10  9.167000e+10
1351       165     0     37                0                0      5.0           4.0       28.0       7.8000     3.60  1.000000e+11
1356        15     2      2                0                0      3.0           4.0       85.0      20.0000     4.20  4.471000e+10
1360       166     2      2                0                0      4.0           4.0       31.0       7.0000     4.60  6.613000e+10
1388       167     1      1                0                0      4.0           4.0       39.0      35.0000     4.00  1.205100e+11
1391       168     3     42                1                0      4.0           4.0       34.0      10.0000     3.40  7.059000e+10
1398       169     7     74                0                0      5.0           3.0       30.0       8.0000     3.50  9.667000e+10
1412       170     6     82                0                0      4.0           4.0       75.0      12.0000     6.30  7.733000e+10
1414       171     2     39                0                0      4.0           4.0       40.0      12.0000     3.60  4.050000e+10
1418       172    10     85                0                0      5.0           2.0       30.0      12.0000     3.50  1.583300e+11
1421       173    11     30                0                0      6.0           4.0       35.0       9.8000     3.60  1.042900e+11
1425       174    11     61                0                0      5.0           4.0       35.0       5.8000     6.00  1.628600e+11
1432       175     6     82                1                0      3.0           3.0       39.0      14.0000     3.20  3.307700e+11
1437       176     1     76                0                0      4.0           5.0       39.0      11.0000   348.00  7.308000e+10
1441       177     7     74                2                0      4.0           4.0      130.0      22.0000     6.00  1.215400e+11
1451       130     0     73                0                0      5.0           5.0       49.0       8.0000     6.50  1.040800e+11
1455       178     1     86                0                0      3.0           3.0       30.0       6.0000     5.00  5.027000e+10
1471       179     0     73                0                0      5.0           5.0       49.0       8.0000     6.50  1.040800e+11
1472       180     7     80                3                0      4.0           6.0       72.0      14.0000     5.00  1.236100e+11
1501       181     0     87                0                0      2.0           3.0       47.0      10.0000     5.00  7.092000e+10
1509       182     6      8                0                0      4.0           3.0       30.0      30.0000    30.00  1.116700e+11
1518        20     2     18                0                1      2.0           2.0       46.0       9.0000     5.10  4.348000e+10
1520       183     2     10                0                0      4.0           3.0       34.0      10.0000     3.40  7.941000e+10
1541        17     6     15                1                0      9.0           4.0       61.0      13.0000     4.60  4.311500e+11
1545       184     1     88                1                0      4.0           3.0       73.0      14.0000     5.40  5.890000e+10
1548       185     7      9                3                0      7.0           6.0       40.0      10.0000     4.00  1.800000e+11
1563       186     7     74                1                0      9.0          11.0      100.0      10.0000    10.00  1.200000e+11
1570       187     2     69                0                0      5.0           9.0       39.0      10.0000     3.90  9.231000e+10
1572       188    11     30                0                0      5.0           3.0       31.0       8.0000     4.00  1.290300e+11
1575       189     6     89                0                0      4.0           4.0       45.0      11.0000     4.00  1.111100e+11
1580       190     0     11                2                0      3.0           9.0      150.0      13.0000    12.00  1.660000e+11
1589       115     2     39                0                0      4.0           3.0       40.0       6.7000     6.00  4.050000e+10
1591       144     0      0                0                0      4.0           4.0       44.0      11.0000     4.00  6.705000e+10
1602       191     2     39                0                0      4.0           3.0       37.0      10.0000     3.70  3.784000e+10
1610        68     7     52                0                2      4.0           3.0       33.0       8.0000     3.70  1.121200e+11
1611        19     8     17                1                0      4.0           4.0       46.0       9.0000     5.00  1.087000e+11
1612       192     7     48                1                0      5.0           3.0       35.0      10.0000     3.50  1.000000e+11
1697       193     1      1                0                0      4.0           4.0       60.0       4.5000     4.50  1.416700e+11
